시점,소계,동북아시아 소계,중국,중국(한국계),대만,일본,몽골,동남아시아 소계,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,서남아시아 소계,스리랑카,파키스탄,방글라데시,네팔,기타,중앙아시아 소계,우즈베키스탄,카자흐스탄,키르기스탄,기타,아시아(기타),미국,캐나다,유럽 소계,러시아,러시아(한국계),영국,기타,오세아니아,중남미,아프리카,기타
2015,9956,4401,150,4097,-,8,146,3515,662,392,587,702,847,307,-,-,-,18,1123,-,-,-,-,-,642,-,-,-,-,-,170,-,-,11,-,-,-,-,-,-,94
2016,9450,3698,115,3448,*,13,120,3477,551,425,654,614,900,317,*,*,16,*,1180,349,9,119,680,23,821,623,102,96,*,*,164,21,55,8,*,15,30,9,*,23,*
2017,9046,3189,102,2971,*,11,104,3367,541,370,635,552,913,334,*,*,21,*,1304,368,11,124,775,26,914,671,139,102,*,*,160,29,46,6,*,10,30,8,*,28,*
2018,9288,3289,98,3080,*,8,102,3380,549,365,657,482,890,415,*,*,18,*,1367,325,13,148,859,22,991,716,175,99,*,*,165,23,38,8,*,9,21,9,*,23,*
2019,8589,2910,96,2724,*,6,84,3252,540,369,676,417,792,441,*,6,8,*,1312,275,18,149,850,20,867,609,173,84,*,*,160,26,37,5,*,10,22,*,*,20,*
2020,7415,2302,74,2133,*,11,83,2878,530,343,559,355,658,416,*,5,9,*,1257,248,22,144,820,23,719,517,127,74,*,*,167,21,49,5,*,14,30,*,*,17,*
2021,6621,1862,66,1702,*,8,86,2714,503,314,557,283,655,387,*,*,9,*,1172,232,23,127,762,28,610,416,131,63,*,*,168,22,41,6,*,17,18,5,*,23,*
